minuto;2,6min;2,10min;2,15min;2,20min;2,25min;2,30min;2,1h;2,2h;2,3h;2,4h;2,6h;2,8h;2,10h;2,12h;2,18h;2,24h;5,6min;5,10min;5,15min;5,20min;5,25min;5,30min;5,1h;5,2h;5,3h;5,4h;5,6h;5,8h;5,10h;5,12h;5,18h;5,24h;10,6min;10,10min;10,15min;10,20min;10,25min;10,30min;10,1h;10,2h;10,3h;10,4h;10,6h;10,8h;10,10h;10,12h;10,18h;10,24h;20,6min;20,10min;20,15min;20,20min;20,25min;20,30min;20,1h;20,2h;20,3h;20,4h;20,6h;20,8h;20,10h;20,12h;20,18h;20,24h;25,6min;25,10min;25,15min;25,20min;25,25min;25,30min;25,1h;25,2h;25,3h;25,4h;25,6h;25,8h;25,10h;25,12h;25,18h;25,24h;50,6min;50,10min;50,15min;50,20min;50,25min;50,30min;50,1h;50,2h;50,3h;50,4h;50,6h;50,8h;50,10h;50,12h;50,18h;50,24h;100,6min;100,10min;100,15min;100,20min;100,25min;100,30min;100,1h;100,2h;100,3h;100,4h;100,6h;100,8h;100,10h;100,12h;100,18h;100,24h;200,6min;200,10min;200,15min;200,20min;200,25min;200,30min;200,1h;200,2h;200,3h;200,4h;200,6h;200,8h;200,10h;200,12h;200,18h;200,24h;500,6min;500,10min;500,15min;500,20min;500,25min;500,30min;500,1h;500,2h;500,3h;500,4h;500,6h;500,8h;500,10h;500,12h;500,18h;500,24h;1000,6min;1000,10min;1000,15min;1000,20min;1000,25min;1000,30min;1000,1h;1000,2h;1000,3h;1000,4h;1000,6h;1000,8h;1000,10h;1000,12h;1000,18h;1000,24h;10000,6min;10000,10min;10000,15min;10000,20min;10000,25min;10000,30min;10000,1h;10000,2h;10000,3h;10000,4h;10000,6h;10000,8h;10000,10h;10000,12h;10000,18h;10000,24h
1;4.9856;5.3935;4.6995;3.8199;3.0952;2.5439;1.0846;0.475;0.31;0.2387;0.1767;0.054;0.0435;0.0362;0.0249;0.0195;6.3491;6.839;5.9484;4.8309;3.9124;3.2143;1.3691;0.6016;0.3932;0.303;0.2245;0.0686;0.0553;0.0461;0.0317;0.0249;7.2519;7.7703;6.7435;5.4708;4.4277;3.6361;1.5468;0.6825;0.4468;0.3447;0.2557;0.0782;0.0631;0.0526;0.0361;0.0284;8.1179;8.6612;7.5034;6.082;4.9197;4.0386;1.7162;0.7599;0.4981;0.3846;0.2856;0.0874;0.0705;0.0588;0.0404;0.0318;8.3926;8.9352;7.7338;6.266;5.0672;4.159;1.7665;0.7834;0.5139;0.3969;0.2949;0.0903;0.0729;0.0608;0.0418;0.0329;9.2388;9.7942;8.462;6.8499;5.5364;4.5423;1.9272;0.8577;0.5635;0.4355;0.3239;0.0992;0.0801;0.0668;0.046;0.0362;8.9911;9.8756;8.6581;7.0586;5.7299;4.7152;2.0174;0.9124;0.6033;0.4681;0.3497;0.1074;0.0869;0.0726;0.0501;0.0395;9.7377;10.7971;9.5018;7.7605;6.3066;5.1937;2.2268;0.9996;0.659;0.5104;0.3805;0.1167;0.0943;0.0788;0.0543;0.0428;10.7227;11.8106;10.3662;8.4558;6.8663;5.6516;2.4196;1.0918;0.7213;0.5594;0.4176;0.1282;0.1037;0.0866;0.0598;0.0471;11.4671;12.5951;11.0424;9.0024;7.3078;6.0137;2.573;1.1637;0.7695;0.597;0.446;0.1369;0.1108;0.0926;0.0639;0.0504;13.9387;15.0612;13.1167;10.6592;8.6357;7.0969;3.025;1.3864;0.9216;0.7172;0.5377;0.1654;0.1341;0.1121;0.0776;0.0612
2;2.4903;3.0982;3.6689;4.0737;4.0904;3.8693;2.139;0.8828;0.4988;0.3319;0.1891;0.0647;0.053;0.0451;0.0255;0.0199;3.1714;3.9286;4.6439;5.1519;5.1702;4.889;2.7;1.118;0.6326;0.4213;0.2403;0.0822;0.0674;0.0574;0.0325;0.0254;3.6224;4.4635;5.2646;5.8343;5.8512;5.5304;3.0504;1.2683;0.7189;0.4792;0.2737;0.0937;0.0769;0.0654;0.0371;0.029;4.055;4.9753;5.8579;6.4861;6.5014;6.1427;3.3847;1.412;0.8014;0.5347;0.3056;0.1047;0.0859;0.0732;0.0415;0.0324;4.1922;5.1327;6.0378;6.6824;6.6964;6.3257;3.4837;1.4558;0.8269;0.5519;0.3156;0.1082;0.0888;0.0756;0.0429;0.0335;4.6149;5.6261;6.6063;7.3051;7.3164;6.9088;3.8008;1.5938;0.9065;0.6056;0.3466;0.1189;0.0976;0.0831;0.0472;0.0369;4.4912;5.6729;6.7593;7.5276;7.5721;7.1718;3.9786;1.6955;0.9706;0.6509;0.3742;0.1287;0.1059;0.0903;0.0514;0.0403;4.8641;6.2022;7.418;8.2761;8.3342;7.8995;4.3915;1.8575;1.0602;0.7097;0.4072;0.1399;0.115;0.098;0.0557;0.0436;5.3561;6.7844;8.0929;9.0176;9.0739;8.5961;4.7718;2.0289;1.1605;0.7778;0.4469;0.1536;0.1264;0.1078;0.0613;0.048;5.7279;7.2351;8.6207;9.6006;9.6574;9.1468;5.0742;2.1624;1.2379;0.8301;0.4773;0.1641;0.135;0.1152;0.0656;0.0514;6.9625;8.6517;10.2402;11.3674;11.4122;10.7943;5.9657;2.5763;1.4827;0.9973;0.5755;0.1983;0.1634;0.1395;0.0796;0.0625
3;1.329;2.2707;2.426;2.4828;2.7265;2.9429;2.5138;1.2273;0.7088;0.4694;0.2607;0.0687;0.0559;0.0473;0.0262;0.0203;1.6925;2.8793;3.0707;3.14;3.4463;3.7185;3.1731;1.5543;0.8989;0.5958;0.3312;0.0873;0.0711;0.0601;0.0333;0.0259;1.9332;3.2714;3.4812;3.5559;3.9003;4.2064;3.5849;1.7633;1.0215;0.6778;0.3772;0.0995;0.0811;0.0686;0.038;0.0295;2.164;3.6465;3.8735;3.9531;4.3337;4.6721;3.9777;1.9631;1.1389;0.7563;0.4213;0.1112;0.0906;0.0767;0.0426;0.0331;2.2373;3.7619;3.9924;4.0728;4.4636;4.8113;4.094;2.024;1.175;0.7806;0.4351;0.1149;0.0936;0.0793;0.044;0.0342;2.4628;4.1235;4.3683;4.4523;4.8769;5.2548;4.4667;2.2158;1.2882;0.8565;0.4778;0.1263;0.1029;0.0872;0.0484;0.0376;2.3968;4.1578;4.4695;4.5879;5.0474;5.4548;4.6757;2.3572;1.3793;0.9206;0.5159;0.1367;0.1116;0.0947;0.0527;0.0411;2.5958;4.5457;4.9051;5.0441;5.5553;6.0083;5.1609;2.5825;1.5066;1.0038;0.5614;0.1486;0.1212;0.1028;0.0571;0.0445;2.8584;4.9724;5.3513;5.496;6.0484;6.5381;5.6078;2.8208;1.6491;1.1001;0.6161;0.1632;0.1333;0.113;0.0629;0.049;3.0569;5.3027;5.7004;5.8514;6.4373;6.9569;5.9633;3.0063;1.7592;1.1741;0.6579;0.1743;0.1424;0.1208;0.0672;0.0524;3.7157;6.341;6.7712;6.9282;7.6071;8.21;7.0109;3.5819;2.107;1.4105;0.7932;0.2106;0.1723;0.1463;0.0816;0.0637
4;0.7444;1.5712;2.0372;2.0515;1.9926;2.0638;2.3894;1.4505;0.8801;0.5909;0.3279;0.072;0.0584;0.0492;0.0268;0.0207;0.948;1.9923;2.5787;2.5945;2.5186;2.6077;3.016;1.837;1.1162;0.7501;0.4166;0.0916;0.0743;0.0626;0.0341;0.0263;1.0828;2.2635;2.9233;2.9382;2.8504;2.9499;3.4074;2.084;1.2685;0.8532;0.4744;0.1044;0.0847;0.0714;0.0389;0.0301;1.212;2.5231;3.2528;3.2664;3.1671;3.2765;3.7808;2.3201;1.4142;0.952;0.5299;0.1166;0.0947;0.0799;0.0436;0.0337;1.2531;2.6029;3.3527;3.3653;3.2621;3.3741;3.8914;2.3921;1.4591;0.9826;0.5472;0.1205;0.0978;0.0825;0.045;0.0348;1.3794;2.8531;3.6683;3.6789;3.5641;3.6851;4.2456;2.6188;1.5996;1.0782;0.601;0.1324;0.1075;0.0907;0.0496;0.0383;1.3424;2.8768;3.7533;3.791;3.6887;3.8254;4.4443;2.7859;1.7128;1.1588;0.6488;0.1433;0.1166;0.0986;0.054;0.0418;1.4539;3.1453;4.119;4.1679;4.0599;4.2135;4.9055;3.0521;1.8709;1.2636;0.706;0.1558;0.1267;0.107;0.0585;0.0453;1.601;3.4405;4.4938;4.5413;4.4203;4.5851;5.3302;3.3338;2.0478;1.3848;0.7749;0.1711;0.1392;0.1176;0.0644;0.0499;1.7121;3.6691;4.7869;4.8349;4.7045;4.8788;5.6681;3.553;2.1844;1.4779;0.8275;0.1828;0.1487;0.1257;0.0688;0.0533;2.0811;4.3874;5.6861;5.7247;5.5594;5.7576;6.6639;4.2332;2.6164;1.7755;0.9977;0.2209;0.18;0.1523;0.0836;0.0648
5;0.6734;1.0399;1.6023;1.8096;1.7905;1.7159;2.046;1.5626;1.0108;0.6945;0.3899;0.0748;0.0605;0.0509;0.0274;0.0211;0.8575;1.3186;2.0281;2.2885;2.2632;2.1681;2.5826;1.979;1.2819;0.8816;0.4954;0.0952;0.077;0.0648;0.0349;0.0268;0.9795;1.4981;2.2992;2.5917;2.5613;2.4526;2.9177;2.2451;1.4568;1.0029;0.5643;0.1085;0.0878;0.0739;0.0398;0.0306;1.0964;1.6699;2.5583;2.8812;2.8459;2.7241;3.2374;2.4995;1.6241;1.119;0.6302;0.1212;0.0982;0.0826;0.0446;0.0343;1.1335;1.7227;2.6369;2.9684;2.9313;2.8053;3.3321;2.577;1.6756;1.1549;0.6508;0.1252;0.1014;0.0854;0.046;0.0354;1.2478;1.8883;2.8851;3.245;3.2027;3.0638;3.6354;2.8212;1.837;1.2672;0.7148;0.1376;0.1115;0.0939;0.0507;0.039;1.2144;1.904;2.952;3.3438;3.3146;3.1804;3.8055;3.0012;1.967;1.362;0.7717;0.1489;0.1209;0.102;0.0552;0.0426;1.3152;2.0817;3.2396;3.6763;3.6482;3.5032;4.2004;3.2881;2.1485;1.4852;0.8397;0.1619;0.1313;0.1107;0.0598;0.0461;1.4483;2.2771;3.5344;4.0057;3.972;3.8121;4.5642;3.5915;2.3517;1.6276;0.9216;0.1778;0.1443;0.1217;0.0658;0.0508;1.5488;2.4284;3.7649;4.2647;4.2274;4.0563;4.8535;3.8277;2.5087;1.7371;0.9842;0.1899;0.1542;0.1301;0.0704;0.0543;1.8826;2.9038;4.4722;5.0495;4.9956;4.7869;5.7062;4.5605;3.0047;2.0869;1.1866;0.2295;0.1866;0.1575;0.0854;0.066
6;0.5331;0.711;1.2441;1.5137;1.6217;1.5948;1.6833;1.5843;1.102;0.7797;0.4464;0.0772;0.0624;0.0524;0.028;0.0214;0.679;0.9016;1.5748;1.9144;2.0499;2.015;2.1248;2.0065;1.3976;0.9896;0.5672;0.0982;0.0794;0.0667;0.0356;0.0273;0.7755;1.0243;1.7853;2.168;2.3199;2.2794;2.4005;2.2763;1.5882;1.1257;0.646;0.1119;0.0905;0.0761;0.0407;0.0312;0.8681;1.1418;1.9865;2.4102;2.5777;2.5318;2.6636;2.5342;1.7706;1.2561;0.7215;0.1251;0.1012;0.0851;0.0455;0.0349;0.8975;1.1779;2.0475;2.4831;2.655;2.6072;2.7415;2.6128;1.8268;1.2964;0.745;0.1292;0.1046;0.0879;0.047;0.0361;0.988;1.2911;2.2402;2.7145;2.9008;2.8475;2.991;2.8604;2.0028;1.4225;0.8183;0.142;0.115;0.0967;0.0518;0.0397;0.9615;1.3018;2.2921;2.7972;3.0022;2.9559;3.131;3.0429;2.1445;1.5289;0.8834;0.1537;0.1247;0.105;0.0564;0.0433;1.0413;1.4233;2.5155;3.0753;3.3043;3.2559;3.4559;3.3338;2.3424;1.6671;0.9613;0.1671;0.1354;0.114;0.0611;0.0469;1.1467;1.5569;2.7444;3.3508;3.5976;3.543;3.7551;3.6414;2.5639;1.827;1.0551;0.1835;0.1488;0.1253;0.0672;0.0516;1.2263;1.6604;2.9234;3.5675;3.829;3.77;3.9932;3.8809;2.735;1.9499;1.1267;0.196;0.159;0.1339;0.0719;0.0552;1.4906;1.9854;3.4725;4.224;4.5247;4.449;4.6947;4.6238;3.2758;2.3426;1.3584;0.2368;0.1924;0.1622;0.0873;0.0671
7;0.0;0.6397;0.9384;1.2622;1.4098;1.4692;1.3993;1.5396;1.1572;0.8465;0.497;0.0793;0.0641;0.0538;0.0285;0.0218;0.0;0.8111;1.1877;1.5963;1.782;1.8564;1.7663;1.9499;1.4676;1.0744;0.6315;0.1008;0.0815;0.0684;0.0363;0.0277;0.0;0.9216;1.3465;1.8077;2.0167;2.0999;1.9956;2.212;1.6678;1.2222;0.7192;0.1149;0.0929;0.078;0.0415;0.0317;0.0;1.0272;1.4982;2.0096;2.2408;2.3324;2.2142;2.4627;1.8593;1.3637;0.8032;0.1284;0.1039;0.0873;0.0464;0.0354;0.0;1.0597;1.5442;2.0705;2.308;2.4019;2.279;2.5391;1.9183;1.4075;0.8295;0.1327;0.1074;0.0902;0.048;0.0366;0.0;1.1616;1.6896;2.2634;2.5216;2.6233;2.4864;2.7797;2.1031;1.5444;0.911;0.1458;0.118;0.0992;0.0528;0.0403;0.0;1.1713;1.7288;2.3323;2.6098;2.7232;2.6028;2.957;2.2519;1.6599;0.9835;0.1578;0.128;0.1077;0.0575;0.044;0.0;1.2805;1.8972;2.5643;2.8724;2.9995;2.8729;3.2397;2.4598;1.81;1.0703;0.1716;0.139;0.1169;0.0623;0.0477;0.0;1.4007;2.0699;2.794;3.1274;3.264;3.1216;3.5386;2.6924;1.9836;1.1746;0.1884;0.1528;0.1285;0.0686;0.0525;0.0;1.4938;2.2049;2.9746;3.3285;3.4731;3.3195;3.7713;2.872;2.117;1.2544;0.2013;0.1632;0.1374;0.0733;0.0561;0.0;1.7863;2.6191;3.5221;3.9333;4.0986;3.9027;4.4933;3.4399;2.5433;1.5123;0.2432;0.1975;0.1664;0.089;0.0682
8;0.0;0.6128;0.7205;1.0373;1.2177;1.311;1.216;1.4516;1.1811;0.8958;0.5416;0.0812;0.0656;0.055;0.0291;0.0221;0.0;0.7771;0.912;1.3118;1.5391;1.6564;1.5349;1.8384;1.4979;1.1371;0.6881;0.1032;0.0834;0.07;0.037;0.0282;0.0;0.8829;1.0339;1.4856;1.7419;1.8738;1.7341;2.0856;1.7022;1.2935;0.7837;0.1176;0.0951;0.0798;0.0423;0.0322;0.0;0.9841;1.1504;1.6515;1.9354;2.0812;1.9241;2.3219;1.8978;1.4432;0.8752;0.1314;0.1063;0.0893;0.0473;0.036;0.0;1.0152;1.1857;1.7015;1.9934;2.1432;1.9804;2.3939;1.958;1.4896;0.9038;0.1358;0.1098;0.0922;0.0489;0.0372;0.0;1.1128;1.2974;1.8601;2.178;2.3408;2.1606;2.6208;2.1466;1.6344;0.9927;0.1492;0.1207;0.1014;0.0538;0.041;0.0;1.1221;1.3274;1.9167;2.2542;2.4299;2.2617;2.788;2.2984;1.7567;1.0717;0.1615;0.1309;0.1102;0.0586;0.0447;0.0;1.2268;1.4568;2.1073;2.481;2.6765;2.4964;3.0544;2.5106;1.9155;1.1662;0.1755;0.1422;0.1195;0.0635;0.0484;0.0;1.342;1.5893;2.2961;2.7012;2.9125;2.7126;3.3363;2.748;2.0993;1.2799;0.1928;0.1563;0.1314;0.0699;0.0533;0.0;1.4311;1.693;2.4446;2.8749;3.099;2.8846;3.5557;2.9314;2.2405;1.3668;0.206;0.167;0.1405;0.0748;0.057;0.0;1.7113;2.011;2.8944;3.3973;3.6572;3.3913;4.2364;3.511;2.6916;1.6479;0.2489;0.2021;0.1702;0.0907;0.0693
9;0.0;0.518;0.5668;0.8373;1.0519;1.1589;1.1139;1.3402;1.179;0.9291;0.5801;0.0828;0.0669;0.0561;0.0296;0.0224;0.0;0.6568;0.7174;1.059;1.3296;1.4643;1.406;1.6973;1.4952;1.1793;0.737;0.1053;0.0851;0.0714;0.0377;0.0286;0.0;0.7462;0.8133;1.1992;1.5048;1.6565;1.5885;1.9255;1.6992;1.3415;0.8394;0.12;0.097;0.0814;0.0431;0.0327;0.0;0.8318;0.9049;1.3332;1.672;1.8399;1.7625;2.1437;1.8944;1.4968;0.9375;0.1341;0.1084;0.091;0.0482;0.0366;0.0;0.8581;0.9327;1.3736;1.7221;1.8947;1.8141;2.2102;1.9545;1.5449;0.9681;0.1386;0.112;0.0941;0.0498;0.0378;0.0;0.9406;1.0205;1.5015;1.8816;2.0693;1.9792;2.4196;2.1427;1.6951;1.0632;0.1523;0.1232;0.1034;0.0548;0.0416;0.0;0.9484;1.0442;1.5473;1.9473;2.1481;2.0718;2.574;2.2943;1.822;1.1479;0.1648;0.1336;0.1123;0.0597;0.0454;0.0;1.0369;1.1459;1.7011;2.1433;2.3661;2.2868;2.82;2.5061;1.9867;1.2491;0.1792;0.1451;0.1219;0.0647;0.0491;0.0;1.1343;1.2502;1.8536;2.3335;2.5747;2.4849;3.0802;2.7431;2.1772;1.3709;0.1968;0.1594;0.1341;0.0712;0.0541;0.0;1.2096;1.3317;1.9734;2.4836;2.7396;2.6424;3.2828;2.9261;2.3237;1.464;0.2102;0.1704;0.1433;0.0761;0.0579;0.0;1.4465;1.5819;2.3366;2.9349;3.2331;3.1066;3.9113;3.5047;2.7916;1.7651;0.254;0.2061;0.1736;0.0924;0.0704
10;0.0;0.4817;0.5334;0.6846;0.895;1.0277;1.0605;1.2211;1.1562;0.9479;0.6126;0.0844;0.0681;0.0571;0.0301;0.0228;0.0;0.6108;0.6751;0.8657;1.1313;1.2985;1.3386;1.5465;1.4664;1.2031;0.7784;0.1073;0.0866;0.0726;0.0384;0.029;0.0;0.6939;0.7654;0.9804;1.2803;1.4689;1.5124;1.7545;1.6664;1.3686;0.8865;0.1223;0.0987;0.0829;0.0438;0.0331;0.0;0.7735;0.8516;1.0899;1.4226;1.6315;1.6781;1.9533;1.8578;1.5271;0.9901;0.1367;0.1104;0.0927;0.049;0.0371;0.0;0.798;0.8778;1.1229;1.4652;1.6801;1.7272;2.0138;1.9168;1.5762;1.0224;0.1412;0.1141;0.0957;0.0507;0.0383;0.0;0.8747;0.9604;1.2276;1.6009;1.835;1.8844;2.2047;2.1014;1.7294;1.123;0.1551;0.1254;0.1053;0.0558;0.0422;0.0;0.8819;0.9827;1.265;1.6569;1.9048;1.9725;2.3453;2.25;1.8588;1.2124;0.1679;0.136;0.1144;0.0607;0.046;0.0;0.9642;1.0784;1.3907;1.8236;2.0981;2.1772;2.5695;2.4577;2.0268;1.3193;0.1825;0.1477;0.1241;0.0658;0.0499;0.0;1.0548;1.1766;1.5153;1.9855;2.2831;2.3658;2.8066;2.6902;2.2212;1.4479;0.2005;0.1623;0.1365;0.0724;0.0549;0.0;1.1248;1.2533;1.6133;2.1131;2.4294;2.5157;2.9912;2.8697;2.3707;1.5462;0.2142;0.1734;0.1458;0.0775;0.0587;0.0;1.3451;1.4887;1.9102;2.4971;2.8669;2.9577;3.5638;3.4371;2.848;1.8642;0.2588;0.2099;0.1767;0.094;0.0714
11;0.0;0.0;0.5548;0.564;0.7533;0.9071;1.0268;1.1058;1.118;0.9539;0.6395;0.0859;0.0692;0.058;0.0306;0.0231;0.0;0.0;0.7022;0.7133;0.9522;1.1462;1.2961;1.4004;1.4179;1.2108;0.8125;0.1092;0.088;0.0738;0.039;0.0294;0.0;0.0;0.7961;0.8078;1.0776;1.2965;1.4643;1.5887;1.6113;1.3774;0.9254;0.1244;0.1004;0.0842;0.0445;0.0336;0.0;0.0;0.8858;0.898;1.1973;1.4401;1.6247;1.7688;1.7964;1.5368;1.0335;0.139;0.1122;0.0942;0.0498;0.0376;0.0;0.0;0.913;0.9252;1.2332;1.483;1.6723;1.8236;1.8534;1.5862;1.0672;0.1436;0.1159;0.0973;0.0515;0.0389;0.0;0.0;0.9989;1.0114;1.3474;1.6197;1.8245;1.9964;2.0319;1.7405;1.1721;0.1578;0.1275;0.107;0.0567;0.0428;0.0;0.0;1.0221;1.0422;1.3945;1.6813;1.9098;2.1238;2.1756;1.8707;1.2655;0.1709;0.1382;0.1162;0.0617;0.0467;0.0;0.0;1.1217;1.1459;1.5349;1.852;2.108;2.3268;2.3764;2.0398;1.3771;0.1857;0.1501;0.1261;0.0669;0.0506;0.0;0.0;1.2237;1.2485;1.6711;2.0153;2.2906;2.5415;2.6012;2.2354;1.5113;0.204;0.165;0.1387;0.0736;0.0557;0.0;0.0;1.3035;1.3293;1.7786;2.1444;2.4358;2.7087;2.7748;2.3858;1.614;0.2179;0.1763;0.1482;0.0787;0.0595;0.0;0.0;1.5484;1.5739;2.1017;2.5306;2.8637;3.2272;3.3234;2.8662;1.9459;0.2633;0.2133;0.1795;0.0956;0.0724
12;0.0;0.0;0.504;0.4765;0.6393;0.7907;0.9941;1.0015;1.069;0.9491;0.6608;0.0873;0.0703;0.0589;0.0311;0.0234;0.0;0.0;0.6379;0.6027;0.8081;0.9991;1.2548;1.2684;1.3557;1.2047;0.8396;0.111;0.0894;0.0749;0.0396;0.0298;0.0;0.0;0.7232;0.6825;0.9146;1.1302;1.4177;1.4389;1.5406;1.3704;0.9563;0.1265;0.1019;0.0854;0.0452;0.034;0.0;0.0;0.8047;0.7587;1.0162;1.2553;1.573;1.602;1.7176;1.5291;1.068;0.1413;0.1139;0.0955;0.0506;0.0381;0.0;0.0;0.8294;0.7817;1.0467;1.2927;1.619;1.6516;1.7721;1.5782;1.1029;0.146;0.1177;0.0987;0.0523;0.0394;0.0;0.0;0.9075;0.8546;1.1436;1.4119;1.7664;1.8082;1.9428;1.7317;1.2113;0.1604;0.1294;0.1086;0.0576;0.0434;0.0;0.0;0.9285;0.8806;1.1836;1.4656;1.849;1.9235;2.0802;1.8612;1.3077;0.1737;0.1403;0.1179;0.0627;0.0473;0.0;0.0;1.019;0.9681;1.3027;1.6144;2.0409;2.1074;2.2722;2.0295;1.4231;0.1888;0.1524;0.128;0.068;0.0512;0.0;0.0;1.1117;1.0549;1.4183;1.7567;2.2176;2.3018;2.4871;2.2241;1.5618;0.2074;0.1675;0.1407;0.0748;0.0564;0.0;0.0;1.1842;1.1231;1.5095;1.8692;2.3582;2.4532;2.6531;2.3738;1.6679;0.2215;0.179;0.1504;0.08;0.0604;0.0;0.0;1.4066;1.3298;1.7838;2.2059;2.7725;2.9229;3.1777;2.8518;2.0109;0.2676;0.2166;0.1822;0.0971;0.0734
13;0.0;0.0;0.4685;0.4564;0.5477;0.6846;0.9544;0.9123;1.0133;0.9352;0.677;0.0887;0.0713;0.0597;0.0316;0.0237;0.0;0.0;0.5931;0.5772;0.6922;0.865;1.2047;1.1554;1.2851;1.1871;0.8602;0.1127;0.0906;0.0759;0.0402;0.0302;0.0;0.0;0.6723;0.6537;0.7834;0.9785;1.3611;1.3107;1.4604;1.3504;0.9797;0.1285;0.1033;0.0866;0.0459;0.0345;0.0;0.0;0.7481;0.7267;0.8705;1.0868;1.5102;1.4593;1.6281;1.5067;1.0942;0.1436;0.1155;0.0969;0.0514;0.0386;0.0;0.0;0.7711;0.7487;0.8966;1.1192;1.5544;1.5045;1.6797;1.5552;1.1299;0.1483;0.1194;0.1001;0.0531;0.0399;0.0;0.0;0.8437;0.8185;0.9796;1.2223;1.6959;1.6471;1.8415;1.7064;1.241;0.163;0.1312;0.1101;0.0584;0.0439;0.0;0.0;0.8632;0.8434;1.0138;1.2689;1.7752;1.7522;1.9718;1.834;1.3398;0.1764;0.1423;0.1195;0.0636;0.0479;0.0;0.0;0.9473;0.9273;1.1159;1.3976;1.9595;1.9197;2.1538;1.9998;1.4579;0.1918;0.1546;0.1297;0.069;0.0519;0.0;0.0;1.0335;1.0104;1.2149;1.5209;2.1291;2.0968;2.3575;2.1916;1.6001;0.2107;0.1699;0.1426;0.0759;0.0572;0.0;0.0;1.1009;1.0757;1.293;1.6183;2.2641;2.2347;2.5148;2.3391;1.7088;0.225;0.1815;0.1524;0.0812;0.0611;0.0;0.0;1.3078;1.2737;1.528;1.9098;2.6619;2.6625;3.0121;2.8101;2.0601;0.2719;0.2196;0.1847;0.0985;0.0743
14;0.0;0.0;0.3662;0.4798;0.4692;0.596;0.9073;0.8395;0.9544;0.9141;0.6884;0.0901;0.0722;0.0604;0.032;0.024;0.0;0.0;0.4635;0.6067;0.593;0.753;1.1453;1.0632;1.2104;1.1602;0.8747;0.1145;0.0919;0.0769;0.0408;0.0306;0.0;0.0;0.5254;0.6871;0.6711;0.8518;1.2939;1.2062;1.3755;1.3198;0.9962;0.1305;0.1048;0.0877;0.0466;0.0349;0.0;0.0;0.5846;0.7639;0.7457;0.9461;1.4357;1.3428;1.5334;1.4726;1.1126;0.1458;0.1171;0.0981;0.0521;0.0391;0.0;0.0;0.6026;0.787;0.7681;0.9743;1.4777;1.3845;1.5821;1.52;1.1489;0.1506;0.121;0.1014;0.0539;0.0404;0.0;0.0;0.6593;0.8603;0.8392;1.0641;1.6122;1.5157;1.7345;1.6678;1.2619;0.1655;0.133;0.1115;0.0593;0.0445;0.0;0.0;0.6746;0.8865;0.8685;1.1046;1.6877;1.6124;1.8572;1.7925;1.3623;0.1792;0.1443;0.1211;0.0646;0.0485;0.0;0.0;0.7403;0.9747;0.9559;1.2167;1.8628;1.7665;2.0286;1.9546;1.4825;0.1947;0.1567;0.1314;0.07;0.0526;0.0;0.0;0.8077;1.062;1.0408;1.324;2.0241;1.9295;2.2205;2.142;1.627;0.2139;0.1722;0.1445;0.077;0.0579;0.0;0.0;0.8604;1.1306;1.1077;1.4088;2.1524;2.0564;2.3686;2.2861;1.7375;0.2285;0.184;0.1544;0.0823;0.0619;0.0;0.0;1.022;1.3387;1.309;1.6626;2.5306;2.4501;2.837;2.7465;2.0948;0.2761;0.2226;0.187;0.0999;0.0752
15;0.0;0.0;0.436;0.4681;0.4143;0.5233;0.8562;0.7825;0.8951;0.8873;0.6954;0.0914;0.0732;0.0612;0.0325;0.0243;0.0;0.0;0.5519;0.5919;0.5237;0.6612;1.0808;0.9911;1.1352;1.1262;0.8835;0.1162;0.0931;0.0778;0.0413;0.0309;0.0;0.0;0.6257;0.6703;0.5926;0.748;1.221;1.1243;1.29;1.2811;1.0063;0.1325;0.1061;0.0888;0.0472;0.0353;0.0;0.0;0.6962;0.7452;0.6585;0.8308;1.3548;1.2517;1.4382;1.4294;1.1238;0.148;0.1186;0.0993;0.0528;0.0396;0.0;0.0;0.7175;0.7678;0.6782;0.8556;1.3944;1.2906;1.4838;1.4754;1.1605;0.1529;0.1226;0.1026;0.0546;0.0409;0.0;0.0;0.7851;0.8393;0.741;0.9344;1.5214;1.4129;1.6268;1.6188;1.2746;0.168;0.1348;0.1128;0.0601;0.045;0.0;0.0;0.8033;0.8649;0.7669;0.97;1.5926;1.503;1.7418;1.7399;1.3761;0.1819;0.1462;0.1225;0.0654;0.0491;0.0;0.0;0.8816;0.9509;0.8441;1.0684;1.7578;1.6467;1.9026;1.8973;1.4974;0.1977;0.1587;0.133;0.0709;0.0532;0.0;0.0;0.9618;1.0361;0.919;1.1626;1.91;1.7986;2.0826;2.0792;1.6434;0.2172;0.1744;0.1462;0.0781;0.0586;0.0;0.0;1.0245;1.1031;0.9781;1.2371;2.0311;1.9169;2.2215;2.2191;1.755;0.232;0.1864;0.1563;0.0835;0.0627;0.0;0.0;1.2169;1.3061;1.1559;1.4599;2.388;2.2839;2.6608;2.666;2.116;0.2803;0.2255;0.1893;0.1013;0.0762
